Time period and codes,Recreation and culture,Audio-visual etc equipment,Audio visual and recording equipment,Photographic etc equipment,Information processing equipment,Recording media,Repairs of audio-visual etc equipment,Other major durables for recreation and culture,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,Maintenance and repairs of other major durables,"Other recreational items and equipment, gardens and pets","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden, plants and flowers",Pets and related products,Veterinary and other services for pets,Recreational and  cultural services,Recreational and sporting services,Cultural services,Games of chance,"Newspapers, books and stationery",Books,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,"Package holidays
[note 2]","Other Package holidays
[note 2]"
COICOP identifier code,09,09.1,09.1.1,09.1.2,09.1.3,09.1.4,09.1.5,09.2,09.2.1,09.2.2,09.2.3,09.3,09.3.1,09.3.2,09.3.3,09.3.4,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.5,09.5.1,09.5.2,09.5.3,09.5.4,09.6,09.6.1
CDID identifier code,ADGY,ADGZ,ADWQ,ADWR,ADWS,ADWT,ADWU,ADHL,ADWV,ADWW,ADWX,ADHZ,ADWY,ADWZ,AWTW,ADXB,ADXC,ADIA,ADXD,ADXE,CDEM,ADIC,CDEO,CDEP,ADXI,ADXJ,ADID,ADID 2
1999 Q2,"16,459","3,422","1,044",267,857,"1,208",46,"1,343",965,55,323,"4,155","1,178",844,"1,239",628,266,"5,221","1,069","2,430","1,722","2,318",385,"1,040",502,391, [x] , [x] 
1999 Q3,"16,588","3,671","1,139",287,889,"1,307",49,"1,315",929,59,327,"3,593","1,245",817,669,605,257,"5,559","1,102","2,723","1,734","2,450",453,"1,074",528,395, [x] , [x] 
1999 Q4,"18,831","4,985","1,604",401,"1,148","1,770",62,"1,178",771,78,329,"4,064","1,652",958,586,614,254,"5,549","1,037","2,751","1,761","3,055",788,"1,100",668,499, [x] , [x] 
2000 Q1,"17,274","3,946","1,173",298,959,"1,458",58,"1,294",892,69,333,"3,978","1,359",797,924,640,258,"5,421","1,159","2,520","1,742","2,635",548,"1,114",565,408, [x] , [x] 
2000 Q2,"17,705","3,446","1,016",309,847,"1,217",57,"1,256",870,52,334,"4,536","1,365",865,"1,366",676,264,"5,864","1,240","2,890","1,734","2,603",500,"1,113",558,432, [x] , [x] 
2000 Q3,"17,633","3,627","1,077",349,907,"1,242",52,"1,244",850,58,336,"3,985","1,410",849,738,714,274,"6,123","1,277","3,036","1,810","2,654",508,"1,121",581,444, [x] , [x] 
2000 Q4,"19,802","5,079","1,533",479,"1,271","1,738",58,"1,170",753,78,339,"4,490","1,829","1,051",640,708,262,"5,727","1,152","2,837","1,738","3,336",885,"1,115",754,582, [x] , [x] 
2001 Q1,"17,670","3,874","1,223",367,992,"1,234",58,"1,398",991,67,340,"4,198","1,553",802,876,720,247,"5,555","1,356","2,388","1,811","2,645",550,"1,133",554,408, [x] , [x] 
2001 Q2,"18,691","3,582","1,122",338,914,"1,153",55,"1,422","1,019",60,343,"4,825","1,529",921,"1,402",744,229,"6,202","1,456","2,889","1,857","2,660",540,"1,164",543,413, [x] , [x] 
2001 Q3,"18,621","3,761","1,184",347,942,"1,231",57,"1,405",987,71,347,"4,236","1,500",911,788,800,237,"6,439","1,412","3,153","1,874","2,780",579,"1,208",521,472, [x] , [x] 
2001 Q4,"20,732","5,409","1,750",485,"1,327","1,788",59,"1,332",856,123,353,"4,809","1,931","1,159",656,828,235,"5,763","1,248","2,641","1,874","3,419",976,"1,219",795,429, [x] , [x] 
2002 Q1,"19,318","4,109","1,285",475,928,"1,364",57,"1,461","1,078",24,359,"4,545","1,659",867,927,843,249,"6,437","1,485","3,015","1,937","2,766",555,"1,235",540,436, [x] , [x] 
2002 Q2,"20,017","3,734","1,191",398,810,"1,288",47,"1,446","1,061",20,365,"5,277","1,610",941,"1,631",857,238,"6,835","1,535","3,347","1,953","2,725",578,"1,209",547,391, [x] , [x] 
2002 Q3,"19,454","3,794","1,221",367,798,"1,366",42,"1,429","1,025",34,370,"4,361","1,588",866,798,861,248,"7,093","1,734","3,399","1,960","2,777",624,"1,220",546,387, [x] , [x] 
2002 Q4,"21,578","5,578","1,841",452,"1,135","2,107",43,"1,350",900,74,376,"4,902","2,034","1,024",745,853,246,"6,248","1,391","2,908","1,949","3,500","1,043","1,245",775,437, [x] , [x] 
2003 Q1,"19,588","3,942","1,214",388,844,"1,449",47,"1,666","1,185",100,381,"4,444","1,630",778,943,824,269,"6,780","1,708","3,181","1,891","2,756",596,"1,264",537,359, [x] , [x] 
2003 Q2,"20,792","3,799","1,163",380,801,"1,412",43,"1,691","1,281",24,386,"5,250","1,750",868,"1,552",824,256,"7,223","1,804","3,489","1,930","2,829",639,"1,286",570,334, [x] , [x] 
2003 Q3,"20,784","4,026","1,237",410,838,"1,496",45,"1,651","1,230",29,392,"4,584","1,784",839,882,836,243,"7,505","1,843","3,644","2,018","3,018",723,"1,325",503,467, [x] , [x] 
2003 Q4,"23,442","5,767","1,840",579,"1,174","2,124",50,"1,530","1,006",125,399,"5,129","2,359","1,003",723,838,206,"7,252","1,540","3,478","2,234","3,764","1,137","1,337",810,480, [x] , [x] 
2004 Q1,"20,812","4,339","1,255",479,954,"1,592",59,"1,866","1,420",41,405,"4,388","1,668",730,933,841,216,"7,156","1,696","3,413","2,047","3,063",616,"1,344",633,470, [x] , [x] 
2004 Q2,"22,149","4,141","1,226",453,912,"1,492",58,"1,962","1,538",13,411,"5,140","1,746",841,"1,492",827,234,"7,793","1,879","3,612","2,302","3,113",646,"1,328",682,457, [x] , [x] 
2004 Q3,"21,483","4,347","1,322",471,963,"1,540",51,"1,870","1,439",16,415,"4,473","1,745",841,779,841,267,"7,567","1,857","3,552","2,158","3,226",729,"1,323",515,659, [x] , [x] 
2004 Q4,"23,915","5,978","1,892",612,"1,319","2,106",49,"1,758","1,158",180,420,"4,961","2,243",895,712,840,271,"7,264","1,593","3,608","2,063","3,954","1,208","1,317",927,502, [x] , [x] 
2005 Q1,"21,360","4,486","1,464",510,926,"1,535",51,"2,044","1,485",136,423,"4,316","1,614",643,939,862,258,"7,345","1,793","3,523","2,029","3,169",704,"1,322",639,504, [x] , [x] 
2005 Q2,"21,974","4,118","1,313",493,855,"1,397",60,"1,866","1,405",34,427,"4,940","1,674",774,"1,372",852,268,"7,947","2,210","3,665","2,072","3,103",679,"1,327",641,456, [x] , [x] 
2005 Q3,"21,760","4,365","1,396",525,915,"1,471",58,"2,062","1,504",126,432,"4,296","1,721",705,718,874,278,"7,828","1,921","3,671","2,236","3,209",746,"1,301",554,608, [x] , [x] 
2005 Q4,"24,987","6,274","2,084",716,"1,322","2,102",50,"1,699","1,182",79,438,"5,195","2,261",990,719,905,320,"7,791","1,664","3,775","2,352","4,028","1,187","1,286",998,557, [x] , [x] 
2006 Q1,"21,962","4,507","1,616",524,980,"1,349",38,"1,944","1,446",55,443,"4,451","1,546",767,854,944,340,"7,948","2,102","3,671","2,175","3,112",696,"1,271",621,524, [x] , [x] 
2006 Q2,"23,516","4,418","1,552",537,953,"1,343",33,"2,033","1,426",160,447,"5,188","1,547",916,"1,408",957,360,"8,693","2,342","4,046","2,305","3,184",679,"1,293",702,510, [x] , [x] 
2006 Q3,"22,525","4,519","1,559",553,962,"1,407",38,"1,813","1,314",51,448,"4,746","1,641",984,816,927,378,"8,137","1,905","4,041","2,191","3,310",712,"1,313",631,654, [x] , [x] 
2006 Q4,"25,762","6,394","2,232",710,"1,340","2,069",43,"1,683","1,039",197,447,"5,466","2,293","1,148",741,901,383,"7,993","1,650","3,895","2,448","4,226","1,225","1,302","1,077",622, [x] , [x] 
2007 Q1,"23,101","4,514","1,651",387,"1,068","1,364",44,"1,963","1,406",113,444,"5,038","1,895",808,"1,057",886,392,"8,322","2,189","3,809","2,324","3,264",744,"1,304",633,583, [x] , [x] 
2007 Q2,"23,925","4,150","1,451",389,953,"1,319",38,"1,990","1,444",105,441,"5,898","2,181",917,"1,498",924,378,"8,663","2,158","4,182","2,323","3,224",671,"1,305",744,504, [x] , [x] 
2007 Q3,"23,136","4,294","1,538",341,"1,000","1,380",35,"1,858","1,349",71,438,"5,276","2,194",900,834,950,398,"8,316","1,762","4,360","2,194","3,392",769,"1,324",620,679, [x] , [x] 
2007 Q4,"26,406","6,072","2,289",493,"1,430","1,823",37,"1,817","1,245",133,439,"5,983","2,647","1,131",831,"1,004",370,"8,327","1,644","4,172","2,511","4,207","1,248","1,308","1,058",593, [x] , [x] 
2008 Q1,"23,989","4,332","1,421",464,"1,009","1,405",33,"1,856","1,391",26,439,"5,652","2,293",836,"1,139",977,407,"8,873","2,132","4,093","2,648","3,276",728,"1,303",699,546, [x] , [x] 
2008 Q2,"24,790","4,021","1,327",480,947,"1,239",28,"1,938","1,450",47,441,"6,315","2,414",923,"1,636",961,381,"9,269","2,261","4,339","2,669","3,247",682,"1,293",689,583, [x] , [x] 
2008 Q3,"23,701","4,160","1,404",480,994,"1,254",28,"1,886","1,418",26,442,"5,491","2,174",937,942,969,469,"8,778","2,065","4,453","2,260","3,386",758,"1,295",675,658, [x] , [x] 
2008 Q4,"25,483","5,879","2,039",597,"1,337","1,875",31,"1,835","1,279",114,442,"5,839","2,606","1,010",757,980,486,"7,886","1,646","3,852","2,388","4,044","1,173","1,257","1,019",595, [x] , [x] 
2009 Q1,"22,845","3,751","1,300",330,953,"1,132",36,"1,909","1,430",37,442,"5,381","2,042",843,"1,046",977,473,"8,557","2,156","4,002","2,399","3,247",697,"1,284",731,535, [x] , [x] 
2009 Q2,"23,567","3,574","1,208",354,905,"1,059",48,"1,974","1,521",11,442,"6,111","2,212","1,024","1,440",986,449,"8,774","2,242","4,180","2,352","3,134",628,"1,268",768,470, [x] , [x] 
2009 Q3,"22,955","3,889","1,345",360,"1,036","1,086",62,"1,985","1,456",88,441,"5,435","2,216",946,819,"1,008",446,"8,391","1,946","4,277","2,168","3,255",700,"1,269",613,673, [x] , [x] 
2009 Q4,"25,847","5,841","2,090",486,"1,499","1,696",70,"1,994","1,309",247,438,"6,136","2,819","1,025",762,"1,052",478,"7,788","1,647","3,912","2,229","4,088","1,207","1,215","1,104",562, [x] , [x] 
2010 Q1,"22,497","3,832","1,401",339,"1,025","1,006",61,"2,082","1,613",33,436,"5,481","1,979",939,"1,029","1,097",437,"8,025","2,241","3,578","2,206","3,077",677,"1,251",689,460, [x] , [x] 
2010 Q2,"24,492","3,908","1,428",378,"1,049","1,001",52,"2,068","1,615",18,435,"6,404","2,113","1,097","1,577","1,167",450,"8,998","2,403","4,320","2,275","3,114",678,"1,278",594,564, [x] , [x] 
2010 Q3,"23,975","4,266","1,574",406,"1,203","1,040",43,"2,024","1,569",18,437,"5,832","2,221","1,138",805,"1,216",452,"8,554","2,114","4,355","2,085","3,299",780,"1,303",610,606, [x] , [x] 
2010 Q4,"27,195","6,292","2,360",509,"1,723","1,658",42,"2,005","1,379",186,440,"6,503","2,761","1,222",792,"1,261",467,"8,382","1,688","4,326","2,368","4,013","1,227","1,271",978,537, [x] , [x] 
